Graduating class,Company/Org sector,Current job position/professional engagement sector
2019,Tech/Software,Tech/Software
2019,Engineering,Engineering
2019,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2019,Tech/Software,Tech/Software
2019,Finance,Finance
2019,,
2019,,
2019,Entertainment,Product & Strategy (non-technical)
2019,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2019,Academia,Research - Interdisciplinary
2019,Arts/Media,Other
2019,,
2019,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2019,Education,Education
2019,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2019,,
2019,,
2019,,Law
2019,,
2019,Tech/Software,Finance
2019,Tech/Software,Tech/Software
2019,,
2019,Health,Tech/Software
2020,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2020,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2020,,
2020,Other,Finance
2020,Health,Research - Life Sciences
2020,,
2020,Other,Research - Interdisciplinary
2020,Entertainment,Product & Strategy (non-technical)
2020,,
2020,,
2020,Finance,Tech/Software
2020,Research,Research - Interdisciplinary
2020,,
2020,,
2020,Tech/Software,Tech/Software
2020,,
2020,,
2020,Other,Internal Communications/Management/Administration
2020,Other,Engineering
2020,,
2020,Tech/Software,Tech/Software
2020,Law,Law
2020,Education,Tech/Software
2020,Engineering,Engineering
2020,Academia,Research - Life Sciences
2020,,
2020,,
2020,,
2020,Business Consulting/Strategy,Business Consulting/Strategy
2020,,Arts/Media
2020,Research,Research - Interdisciplinary
2020,Finance,UI/UX/Product Design/CAD
2020,Law,Law
2020,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2020,Engineering,Engineering
2020,,
2020,,
2020,,
2020,Tech/Software,Research - Interdisciplinary
2020,Other,Internal Communications/Management/Administration
2020,Tech/Software,Tech/Software
2020,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2020,,
2020,Biotechnology/Pharmaceuticals,Research - Life Sciences
2020,Academia,Research - Life Sciences
2020,Tech/Software,Tech/Software
2020,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2020,Tech/Software,Tech/Software
2020,Academia,Internal Communications/Management/Administration
2020,,Health
2020,Engineering,Engineering
2020,,
2020,Business Consulting/Strategy,Business Consulting/Strategy
2020,,
2020,Tech/Software,Tech/Software
2020,Tech/Software,Tech/Software
2020,Health,Research - Interdisciplinary
2020,,Internal Communications/Management/Administration
2020,Engineering,Tech/Software
2020,Health,Research - Life Sciences
2020,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2020,Finance,Finance
2020,Education,Education
2020,,
2020,,
2020,,
2020,Tech/Software,Engineering
2020,,
2020,Finance,Finance
2020,,
2020,Entertainment,Tech/Software
2020,Business Consulting/Strategy,Business Consulting/Strategy
2020,Tech/Software,Tech/Software
2020,Politics/Government,Finance
2020,Tech/Software,Tech/Software
2020,,
2020,Education,Research - Interdisciplinary
2020,Finance,Finance
2020,Finance,Finance
2020,,
2020,Education,Education
2020,Engineering,Engineering
2020,Finance,Internal Communications/Management/Administration
2020,Engineering,Tech/Software
2020,Biotechnology/Pharmaceuticals,Research - Life Sciences
2020,Biotechnology/Pharmaceuticals,Marketing/Public Relations
2020,,
2020,,
2020,Engineering,Engineering
2020,Finance,Finance
2020,Tech/Software,Product & Strategy (non-technical)
2020,Tech/Software,Tech/Software
2021,Engineering,Engineering
2021,,
2021,Engineering,Engineering
2021,Tech/Software,Tech/Software
2021,Academia,Research - Interdisciplinary
2021,Engineering,Engineering
2021,Tech/Software,Marketing/Public Relations
2021,Journalism,Journalism
2021,,
2021,,
2021,Education,Marketing/Public Relations
2021,Tech/Software,Tech/Software
2021,,
2021,Engineering,Engineering
2021,,
2021,,
2021,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2021,,
2021,,
2021,,
2021,Other,Tech/Software
2021,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
,,
2021,Health,Research - Life Sciences
2021,,
2021,Arts/Media,Arts/Media
2021,,
2021,,
2021,,
2021,,
2021,,
2021,Engineering,UI/UX/Product Design/CAD
2021,Education,Education
2021,Academia,Research - Life Sciences
2021,Education,Education
2021,,
2021,Tech/Software,Tech/Software
2021,,
2021,,
2021,,
2021,Engineering,Engineering
2021,,
2021,,
2021,,
2021,,
2021,,
2021,Tech/Software,Tech/Software
2021,,
2021,Politics/Government,Finance
2021,,
2021,,
2021,,
2021,,
2021,,
2021,,
2021,Other,Other
2021,Research,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2021,,
2021,,
2021,Engineering,Engineering
2021,,
2021,Engineering,Engineering
2021,Other,Other
2021,,
2021,,
2021,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2021,Politics/Government,Finance
2021,,
2021,Finance,Marketing/Public Relations
2021,Tech/Software,Product & Strategy (non-technical)
2021,,
2021,Tech/Software,Tech/Software
2021,,
2021,,
2021,Tech/Software,Tech/Software
2021,,
2021,,
2021,,
2021,Engineering,Engineering
2021,,
2021,Education,Education
2021,Academia,Research - Life Sciences
2021,,
2021,Tech/Software,Tech/Software
2021,,
2021,Other,UI/UX/Product Design/CAD
2021,Academia,Research - Life Sciences
2021,Finance,Finance
2021,Tech/Software,Product & Strategy (non-technical)
2021,,
2021,Tech/Software,Tech/Software
2021,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2021,,
2021,Education,Research - Interdisciplinary
2021,Engineering,Tech/Software
2021,Other,Tech/Software
2021,Tech/Software,Product & Strategy (non-technical)
